Common Name,Scientific Name,Month observed at,Identification Agreements,Comments,Internal Positional Accuracy,Public Positional Accuracy,Quality Grade,Geoprivacy,Latitude,Longitude
Colubrid Snakes,Colubridae,February,3,0,?,? ,needs_id,open,-89.5165328978,21.0522003172
Faded Black-striped Snake,Coniophanes schmidti,August,2,0,572,572,research,open,-89.3001326,20.2023609
Chicken Snake,Spilotes pullatus,February,5,0,5,5,research,open,-89.9151020967,20.5648208769
Speckled Racer,Drymobius margaritiferus,February,3,0,?,? ,research,open,-89.5765762328,21.0462265014
Salmon-bellied Racer,Mastigodryas melanolomus,January,3,0,8,8,research,open,-89.6868526815,20.9894457821
Central American Boa,Boa imperator,November,7,0,31,31,research,open,-89.631363406,21.2766514055
Neotropical Whip Snake,Masticophis mentovarius,February,3,0,?,? ,research,open,-89.6051055556,20.8607555556
,Conophis lineatus concolor,Unknown,2,0,1975,1975,research,open,-89.7444203496,20.8541804841
Central American Boa,Boa imperator,February,4,0,1182,1182,research,open,-89.2443593591,21.3113591707
Speckled Racer,Drymobius margaritiferus,February,5,0,?,? ,research,open,-90.19585,20.8591777778
Variable Coralsnake,Micrurus diastema,February,8,0,30,30,research,open,-89.620347,21.055338
Central American Boa,Boa imperator,February,7,0,15,15,research,open,-89.602963,21.02681
Peninsula Stripeless Snake,Coniophanes meridanus,February,3,0,?,? ,research,open,-90.1484027778,20.4041111111
Chicken Snake,Spilotes pullatus,January,4,0,18,18,research,open,-90.1552566513,20.4018979359
Variable Coralsnake,Micrurus diastema,February,6,0,?,? ,research,open,-89.6330527778,21.15445
Central American Indigo Snake,Drymarchon melanurus,April,4,0,31,31,research,open,-89.1799151667,21.2876169151
Central American Milksnake,Lampropeltis abnorma,January,6,0,?,? ,research,open,-89.5856704711,21.0399341581
Blood Snake,Stenorrhina freminvillei,Unknown,3,0,17,17,research,open,-89.7028950602,20.9823045355
Variable Coralsnake,Micrurus diastema,January,7,0,551,551,research,open,-89.2209486247,21.1257996476
Variable Coralsnake,Micrurus diastema,January,5,0,4,4,research,open,-89.51628,21.0484945
Central American Boa,Boa imperator,January,6,0,?,? ,research,open,-89.34229,21.312166
Yucatecan Cantil,Agkistrodon russeolus,January,7,0,?,? ,research,,-89.3903059722,21.32873
Western Ribbon Snake,Thamnophis proximus,January,5,0,?,? ,research,open,-89.3388049722,21.3114929722
Variable Coralsnake,Micrurus diastema,January,5,0,?,? ,research,open,-89.315466,21.252355
Central American Boa,Boa imperator,Unknown,5,0,47,47,research,open,-89.6554169431,20.8996984513
Yucatán Blunt-headed Tree Snake,Imantodes tenuissimus,January,2,0,?,? ,research,open,-89.326282,21.213097
Rainforest Cat-eyed Snake,Leptodeira frenata,January,3,0,?,? ,research,open,-89.3267249722,21.213336
Speckled Racer,Drymobius margaritiferus,March,6,0,122,122,research,open,-89.4256100016,21.3118227915
Salmon-bellied Racer,Mastigodryas melanolomus,January,8,0,87,30415,research,open,-89.5325689884,21.0302440062
Rainforest Cat-eyed Snake,Leptodeira frenata,January,3,0,1256,1256,research,open,-89.32694491,21.2144591976
Rainforest Cat-eyed Snake,Leptodeira frenata,January,5,0,204,204,research,open,-89.3267326802,21.2133064892
Central American Indigo Snake,Drymarchon melanurus,January,6,0,?,? ,research,open,-89.3404310569,21.1027191058
Yucatecan Dwarf Short-tail Snake,Tantillita canula,December,2,0,712,712,research,open,-90.0389436632,21.1624483421
Yucatán Blunt-headed Tree Snake,Imantodes tenuissimus,January,5,0,9,9,research,open,-89.7081022337,20.8527599208
Variable Coralsnake,Micrurus diastema,January,6,0,?,? ,research,open,-89.5162542164,21.0246393422
Yucatán White-lipped Snake,Symphimus mayae,January,4,0,?,? ,research,open,-89.5903138889,20.6990916667
Central American Milksnake,Lampropeltis abnorma,January,7,0,5,5,research,open,-89.8984133333,20.98623
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,January,5,0,?,30434,research,obscured,-89.1537944758,20.92899688
Yucatán Hognose Viper,Porthidium yucatanicum,January,6,0,?,? ,research,open,-88.918214,20.594172
Pygmy Snail Sucker,Geophis sanniolus,January,3,0,?,? ,research,open,-88.5428009722,20.825555
Central American Milksnake,Lampropeltis abnorma,January,7,0,?,? ,research,open,-88.4360369722,20.890329
Yucatán Hognose Viper,Porthidium yucatanicum,January,7,0,?,? ,research,open,-88.402394,20.934573
Variable Coralsnake,Micrurus diastema,January,6,0,?,? ,research,open,-88.397063,20.939323
Terrestrial Snail Sucker,Geophis sartorii,January,4,0,?,? ,research,open,-88.381787,20.949145
Yucatán Blunt-headed Tree Snake,Imantodes tenuissimus,January,4,0,?,? ,research,open,-88.381787,20.949145
Terrestrial Snail Sucker,Geophis sartorii,January,3,0,?,? ,research,open,-88.453124,20.591825
Central American Milksnake,Lampropeltis abnorma,January,5,0,?,? ,research,open,-88.453108,20.5918349722
Central American Boa,Boa imperator,Unknown,5,0,87,87,research,open,-90.1811557263,20.4045881587
Rainforest Cat-eyed Snake,Leptodeira frenata,December,5,0,6747,6747,research,open,-89.6024648593,21.0447449157
Red Coffee Snake,Ninia sebae,January,4,0,?,? ,research,open,-89.5921388889,20.6984333333
Green Vine Snake,Oxybelis fulgidus,January,4,0,4,4,research,open,-89.6613466667,21.1430195
Rainforest Cat-eyed Snake,Leptodeira frenata,December,6,0,23,23,research,open,-89.6810410917,20.643006248
Red Coffee Snake,Ninia sebae,January,4,0,2413358,2413358,research,open,-89.3820510801,20.007747652
Red Coffee Snake,Ninia sebae,January,4,0,15,15,research,open,-90.1474584639,20.4063419161
,Conophis lineatus concolor,January,4,0,5,5,research,open,-90.4055533333,20.8363383333
Red Coffee Snake,Ninia sebae,September,5,0,?,? ,research,open,-89.6515909722,21.0631899722
Variable Coralsnake,Micrurus diastema,December,7,0,?,? ,research,open,-89.5603179931,21.0511169433
Blood Snake,Stenorrhina freminvillei,December,5,0,?,? ,research,open,-89.5755767822,21.0575103758
Variable Coralsnake,Micrurus diastema,January,8,0,?,? ,research,open,-89.5709075925,21.0663814544
Blood Snake,Stenorrhina freminvillei,January,3,0,16,16,research,open,-88.5715804351,20.6826450677
Faded Black-striped Snake,Coniophanes schmidti,January,4,0,38,38,research,open,-89.6671180551,20.9354798377
Mexican Parrot Snake,Leptophis mexicanus,January,3,0,?,? ,research,open,-89.8195305556,21.1919416667
Central American Indigo Snake,Drymarchon melanurus,January,3,0,?,? ,research,open,-89.69905,21.1300305556
